character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
吉,0,0,3,12,6,1,0,0,0,0,0,0,22,0,1000.0
泰,0,1,7,5,8,1,0,0,0,0,0,0,22,0,1000.0
一,0,1,2,10,7,2,0,0,0,0,0,0,22,0,1000.0
昭,1,1,2,11,6,0,0,0,0,1,0,0,21,1,5.6
駿,0,2,7,10,2,0,0,0,0,0,0,0,21,0,1000.0
錦,0,0,2,6,7,5,0,0,0,0,1,0,20,1,5.33
任,0,2,11,7,1,0,0,0,0,0,0,0,21,0,1000.0
旭,0,0,5,7,9,0,0,0,0,0,0,0,21,0,1000.0
盈,0,0,2,4,1,1,0,0,5,5,3,0,8,13,0.16
新,0,0,3,10,7,1,0,0,0,0,0,0,21,0,1000.0
靜,0,0,0,0,1,0,0,2,1,7,10,0,1,20,0.01
和,0,0,3,10,6,2,0,0,0,0,0,0,21,0,1000.0
紹,0,2,7,6,3,0,0,0,1,0,1,0,18,2,2.4
琳,0,1,0,0,2,2,0,1,3,8,3,0,5,15,0.09
峻,0,2,14,4,0,0,0,0,0,0,0,0,20,0,1000.0
彬,0,0,4,7,7,2,0,0,0,0,0,0,20,0,1000.0
松,0,0,2,7,7,4,0,0,0,0,0,0,20,0,1000.0
亮,0,2,4,5,7,0,0,0,0,1,1,0,18,2,2.4
致,0,2,2,13,2,1,0,0,0,0,0,0,20,0,1000.0
欽,0,0,2,12,5,1,0,0,0,0,0,0,20,0,1000.0
瑩,0,0,1,2,0,0,0,1,4,10,2,0,3,17,0.05
春,0,1,1,1,5,6,0,0,0,3,1,1,14,5,0.75
學,0,0,5,8,5,1,0,0,0,0,0,0,19,0,1000.0
英,0,0,5,6,2,2,0,0,0,1,1,2,15,4,1.0
蓉,0,0,0,0,0,0,0,0,4,11,3,1,0,19,0.001
鳳,0,0,0,1,1,0,0,0,0,7,6,4,2,17,0.03
祐,1,3,9,4,0,1,0,1,0,0,0,0,18,1,4.8
天,0,0,4,8,3,3,0,0,0,1,0,0,18,1,4.8
詠,0,1,4,9,1,0,0,0,0,4,0,0,15,4,1.0
