character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
譽,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
絜,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
虎,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
作,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
茲,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
申,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
鐿,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
繁,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
伃,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
椿,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1000.0
胤,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
銅,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1000.0
歐,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0.27
蓓,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.001
尉,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
仰,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
晁,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
箏,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
語,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
珏,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
岡,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
燊,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
賞,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
仙,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.001
嵩,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
甯,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.27
擎,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
禧,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.27
珉,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1000.0
字,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1000.0
三,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1000.0
硯,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
溪,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
頌,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.27
雙,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
燈,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
嗣,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
讚,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
競,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1000.0
境,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
沁,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
琛,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.27
觀,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
傅,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
井,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
恭,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
日,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
嶸,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1000.0
佾,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
澄,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
委,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
禾,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
沅,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
瀞,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
栓,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
爾,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
禕,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0.27
喆,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
荃,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
寗,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.001
壽,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
羲,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
萁,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
芷,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.001
磊,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
寓,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
樑,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
頂,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1000.0
沂,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.27
銜,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
曙,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
勻,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1000.0
勵,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.27
薫,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
宙,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
比,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.27
惇,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
奎,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
好,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.27
霓,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.001
笙,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1000.0
朗,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1000.0
幼,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.001
雍,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
恕,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
眉,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
湧,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
靈,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1000.0
淨,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.001
藹,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
烱,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1000.0
柔,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
齡,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.001
秦,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.27
里,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.27
蘅,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.001
洺,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1000.0
夢,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1000.0
泮,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
從,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
柿,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
御,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
袊,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
邁,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
挺,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
壕,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
濱,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
珀,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
駪,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
茜,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
蛟,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
珺,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
創,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
礽,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
扉,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
驤,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
雁,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
襄,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
蒲,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
孫,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
螢,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.001
鈿,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
妹,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
侖,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
地,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
萌,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
鉅,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
席,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
莨,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
騫,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
翮,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
璜,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
杺,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
莆,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
欐,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
葆,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
盼,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
暖,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
煦,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
玠,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
荻,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
河,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
韶,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
教,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
裔,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
宭,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
藩,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
煖,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
墉,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
曛,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
秄,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
绣,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
秩,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
引,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
慆,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
蒙,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
焱,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
壎,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
熾,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
濟,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
竫,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
崗,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
藤,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
玗,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
馳,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
佰,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
圖,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
鏡,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
常,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
眞,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
穩,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
舫,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
吾,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
絹,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001
娉,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
波,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
功,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
濝,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
臣,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
矩,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
臺,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
選,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
準,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
冊,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
櫪,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
秤,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
祝,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
国,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
楠,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
鋼,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
宴,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
師,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
楊,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
脩,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
萩,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
乙,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
奐,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
彦,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
序,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
沄,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
代,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
凯,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
望,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
商,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
帝,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
再,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
湛,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
丘,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
爭,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
精,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
錕,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
白,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
婧,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001
舟,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
淡,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
葉,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
姸,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
琲,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
鍚,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
蔭,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
鍬,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
各,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
彣,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001
拯,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
趾,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
逵,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
碔,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
垣,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
鎔,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
苔,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
主,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
珣,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
橋,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
雷,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
湟,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
謝,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
莊,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
渙,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
池,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
謀,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
鍙,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
詞,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
記,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
集,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
献,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
諒,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
錄,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
帥,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
湞,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
姍,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
都,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
珩,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
璸,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
佶,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
化,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
泠,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
枏,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
瑱,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
虔,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
媚,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
懌,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
倬,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
及,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
姮,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
法,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
侃,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
昶,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
銚,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
忍,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
偲,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
玨,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
藍,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
勉,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
孔,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
佟,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
支,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
潼,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
漪,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
邑,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
淮,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
緣,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.001
駐,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
駒,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
灯,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
曆,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
倚,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
煉,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
贒,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
深,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
滽,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
港,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
澎,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
藝,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
拱,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
適,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
皚,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
殿,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
鉌,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
綜,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
渭,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
伏,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
懿,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
丙,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
渤,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
嶠,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
杯,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
瀝,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
黎,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
昫,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
閏,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
花,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.001
域,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
覺,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
昺,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
軻,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
次,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
葛,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
會,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
烜,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
鑑,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
烔,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
嬪,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
鍾,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
廉,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
艷,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
莎,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001
稼,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
稟,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
緒,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
晞,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
冲,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
罡,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
風,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
璥,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
淋,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
欉,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
鍊,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
巨,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
蜂,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
珵,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
竺,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
彧,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
臨,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
苙,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
弦,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
璣,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
營,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
洽,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
酉,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
洌,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
植,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
媗,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.001
特,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
瀾,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
葵,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
洹,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
霏,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
將,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
史,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
盡,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
夫,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
堉,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
府,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
斐,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
圓,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
優,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
苗,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
嫣,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
鍇,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
枚,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
王,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
坊,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
是,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
异,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
音,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
炤,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
姲,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
荔,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
皆,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
壁,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
楦,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
團,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
杭,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1000.0
伭,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
橫,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
提,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
杵,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1000.0
歆,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001
嶫,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000.0
